age,body_type,education,ethnicity,height,income,job,orientation,religion,sex,sign,status
35,average,working on space camp,white,70,80000,hospitality / travel,straight,agnosticism but not too serious about it,m,cancer,single
23,thin,working on college/university,white,71,20000,student,straight,,m,pisces,single
28,average,graduated from college/university,white,72,40000,banking / financial / real estate,straight,christianity and very serious about it,m,leo but it doesn&rsquo;t matter,seeing someone
30,skinny,graduated from high school,white,66,30000,sales / marketing / biz dev,straight,christianity but not too serious about it,f,,single
29,thin,working on college/university,"hispanic / latin, white",62,50000,other,straight,catholicism,f,taurus,single
40,fit,graduated from college/university,white,71,60000,construction / craftsmanship,straight,agnosticism but not too serious about it,m,gemini and it&rsquo;s fun to think about,single
22,athletic,working on college/university,asian,65,20000,education / academia,straight,buddhism and laughing about it,m,virgo but it doesn&rsquo;t matter,single
35,athletic,graduated from space camp,"native american, white",73,150000,artistic / musical / writer,straight,agnosticism and very serious about it,m,pisces and it&rsquo;s fun to think about,single
31,curvy,graduated from law school,indian,61,50000,law / legal services,straight,hinduism but not too serious about it,f,libra and it&rsquo;s fun to think about,single
21,fit,working on college/university,white,71,20000,entertainment / media,straight,catholicism but not too serious about it,m,,single
34,fit,graduated from masters program,white,69,100000,executive / management,straight,agnosticism,m,,single
29,a little extra,graduated from two-year college,white,67,50000,medicine / health,straight,,f,capricorn and it&rsquo;s fun to think about,available
29,fit,graduated from college/university,white,67,40000,artistic / musical / writer,straight,agnosticism and very serious about it,m,libra,single
25,athletic,graduated from college/university,white,78,80000,sales / marketing / biz dev,straight,catholicism and laughing about it,m,aries but it doesn&rsquo;t matter,single
39,athletic,,white,70,100000,computer / hardware / software,straight,atheism but not too serious about it,m,leo and it&rsquo;s fun to think about,single
23,curvy,working on college/university,"black, native american, hispanic / latin",66,20000,other,straight,other,f,capricorn and it&rsquo;s fun to think about,single
27,fit,graduated from college/university,asian,68,150000,science / tech / engineering,straight,agnosticism but not too serious about it,m,,single
27,fit,graduated from college/university,asian,68,150000,other,straight,agnosticism but not too serious about it,m,,available
50,average,college/university,white,73,80000,transportation,straight,other,m,libra,single
59,fit,graduated from masters program,white,73,80000,other,straight,other,m,libra and it&rsquo;s fun to think about,single
24,skinny,graduated from college/university,"hispanic / latin, white",67,60000,computer / hardware / software,straight,catholicism but not too serious about it,m,scorpio but it doesn&rsquo;t matter,single
50,athletic,college/university,asian,66,80000,construction / craftsmanship,straight,,m,,single
26,curvy,working on college/university,"hispanic / latin, white",63,20000,sales / marketing / biz dev,gay,catholicism and laughing about it,f,gemini and it&rsquo;s fun to think about,single
26,fit,graduated from college/university,white,68,70000,science / tech / engineering,straight,agnosticism and laughing about it,f,sagittarius but it doesn&rsquo;t matter,single
21,fit,working on college/university,hispanic / latin,66,20000,sales / marketing / biz dev,straight,catholicism but not too serious about it,f,aries and it&rsquo;s fun to think about,single
27,average,graduated from college/university,white,74,30000,education / academia,straight,,m,,single
28,athletic,graduated from law school,asian,67,150000,law / legal services,straight,agnosticism and laughing about it,f,taurus and it&rsquo;s fun to think about,single
37,fit,graduated from college/university,white,79,50000,entertainment / media,straight,agnosticism and somewhat serious about it,m,virgo but it doesn&rsquo;t matter,single
28,thin,working on ph.d program,indian,61,20000,science / tech / engineering,straight,agnosticism but not too serious about it,f,,single
42,fit,graduated from ph.d program,asian,71,150000,education / academia,straight,,m,scorpio but it doesn&rsquo;t matter,single
27,fit,graduated from college/university,asian,65,80000,medicine / health,bisexual,catholicism,f,aquarius but it doesn&rsquo;t matter,single
29,average,graduated from masters program,"hispanic / latin, white",70,60000,artistic / musical / writer,straight,,m,aries and it&rsquo;s fun to think about,single
23,a little extra,working on college/university,white,62,20000,artistic / musical / writer,straight,,f,sagittarius and it&rsquo;s fun to think about,single
66,fit,graduated from college/university,white,65,40000,retired,straight,christianity and laughing about it,f,pisces and it&rsquo;s fun to think about,single
33,average,graduated from college/university,"white, other",68,80000,other,straight,catholicism and laughing about it,m,leo but it doesn&rsquo;t matter,seeing someone
53,fit,graduated from masters program,white,62,100000,education / academia,bisexual,buddhism but not too serious about it,f,pisces and it matters a lot,single
35,average,graduated from college/university,asian,67,30000,entertainment / media,straight,christianity but not too serious about it,m,scorpio and it&rsquo;s fun to think about,single
30,average,graduated from two-year college,asian,69,60000,medicine / health,straight,christianity and somewhat serious about it,m,aries and it matters a lot,single
29,fit,two-year college,,80,80000,other,straight,atheism,m,leo but it doesn&rsquo;t matter,single
32,fit,graduated from college/university,white,61,100000,artistic / musical / writer,straight,other and very serious about it,f,virgo and it&rsquo;s fun to think about,seeing someone
28,athletic,graduated from college/university,white,73,30000,student,straight,,m,leo and it&rsquo;s fun to think about,single
34,average,graduated from college/university,asian,62,60000,other,straight,agnosticism but not too serious about it,f,gemini and it&rsquo;s fun to think about,single
39,thin,graduated from two-year college,white,72,50000,entertainment / media,straight,other and laughing about it,m,libra,single
36,fit,,hispanic / latin,67,80000,artistic / musical / writer,straight,christianity,m,capricorn,single
50,average,graduated from college/university,white,64,70000,education / academia,straight,,f,leo and it&rsquo;s fun to think about,single
39,fit,graduated from masters program,white,69,80000,science / tech / engineering,straight,other and somewhat serious about it,m,cancer but it doesn&rsquo;t matter,single
42,fit,graduated from college/university,white,64,80000,other,straight,buddhism but not too serious about it,f,aquarius and it&rsquo;s fun to think about,single
47,average,graduated from two-year college,white,69,50000,construction / craftsmanship,straight,christianity but not too serious about it,m,aries but it doesn&rsquo;t matter,single
26,curvy,working on space camp,white,76,20000,other,straight,atheism and somewhat serious about it,m,gemini but it doesn&rsquo;t matter,single
28,athletic,graduated from masters program,white,73,80000,medicine / health,straight,,m,leo,single
33,average,graduated from two-year college,black,64,40000,education / academia,straight,christianity and somewhat serious about it,f,scorpio and it matters a lot,single
42,average,graduated from college/university,"black, native american, white",75,20000,artistic / musical / writer,straight,other,m,libra and it&rsquo;s fun to think about,single
32,,graduated from college/university,other,68,60000,other,straight,,m,virgo but it doesn&rsquo;t matter,single
45,athletic,graduated from masters program,white,68,80000,entertainment / media,gay,judaism but not too serious about it,m,aries and it&rsquo;s fun to think about,single
45,athletic,graduated from college/university,white,66,100000,construction / craftsmanship,straight,other and laughing about it,m,virgo and it&rsquo;s fun to think about,single
22,athletic,,white,70,40000,,straight,,m,,single
61,average,dropped out of college/university,white,63,70000,retired,straight,atheism but not too serious about it,f,capricorn and it&rsquo;s fun to think about,single
34,athletic,graduated from college/university,white,65,150000,sales / marketing / biz dev,straight,catholicism but not too serious about it,f,leo and it&rsquo;s fun to think about,single
32,average,working on college/university,white,74,20000,student,straight,catholicism but not too serious about it,m,libra but it doesn&rsquo;t matter,single
